world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag,rank_date,clean_country,rank
2002,Korea/Japan,Egypt,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Egypt,43.0
2006,Germany,Egypt,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Egypt,17.0
2010,South Africa,Egypt,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Egypt,12.0
2014,Brazil,Egypt,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Egypt,36.0
2018,Russia,Egypt,Group stage,1.0,3.0,0.0,2,6,2018-06-14,0.217391304347826,2018-06-07,Egypt,45.0
2022,Qatar,Egypt,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Egypt,39.0
1994,USA,England,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,England,15.0
1998,France,England,Round of 16,2.0,4.0,2.0,7,4,1998-06-10,0.9545454545454546,1998-05-20,England,5.0
2002,Korea/Japan,England,Quarter-finals,3.0,5.0,2.0,6,3,2002-05-31,1.0,2002-05-15,England,12.0
2006,Germany,England,Quarter-finals,3.0,5.0,3.0,6,2,2006-06-09,1.0,2006-05-17,England,10.0
2010,South Africa,England,Round of 16,2.0,4.0,1.0,3,5,2010-06-11,1.0,2010-05-26,England,8.0
2014,Brazil,England,Group stage,1.0,3.0,0.0,2,4,2014-06-12,0.9565217391304348,2014-06-05,England,10.0
2018,Russia,England,Fourth place,4.0,7.0,4.0,12,8,2018-06-14,1.0,2018-06-07,England,12.0
2022,Qatar,England,Quarter-finals,3.0,5.0,3.0,13,4,2022-11-20,1.0,2022-10-06,England,5.0
1994,USA,France,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,France,13.0
1998,France,France,Winner,7.0,7.0,7.0,15,2,1998-06-10,1.0,1998-05-20,France,18.0
2002,Korea/Japan,France,Group stage,1.0,3.0,0.0,0,3,2002-05-31,1.0,2002-05-15,France,1.0
2006,Germany,France,Runners-up,6.0,7.0,4.0,9,3,2006-06-09,1.0,2006-05-17,France,8.0
2010,South Africa,France,Group stage,1.0,3.0,0.0,1,4,2010-06-11,0.9565217391304348,2010-05-26,France,9.0
2014,Brazil,France,Quarter-finals,3.0,5.0,3.0,10,3,2014-06-12,0.9565217391304348,2014-06-05,France,17.0
2018,Russia,France,Winner,7.0,7.0,6.0,14,6,2018-06-14,1.0,2018-06-07,France,7.0
2022,Qatar,France,Runners-up,6.0,7.0,5.0,16,8,2022-11-20,1.0,2022-10-06,France,4.0
1994,USA,Germany,Quarter-finals,3.0,5.0,3.0,9,7,1994-06-17,0.9545454545454546,1994-06-14,Germany,1.0
1998,France,Germany,Quarter-finals,3.0,5.0,3.0,8,6,1998-06-10,0.9090909090909092,1998-05-20,Germany,2.0
2002,Korea/Japan,Germany,Runners-up,6.0,7.0,5.0,14,3,2002-05-31,0.782608695652174,2002-05-15,Germany,11.0
2006,Germany,Germany,Third place,5.0,7.0,6.0,14,6,2006-06-09,0.8695652173913043,2006-05-17,Germany,19.0
2010,South Africa,Germany,Third place,5.0,7.0,5.0,16,5,2010-06-11,0.9130434782608696,2010-05-26,Germany,6.0
2014,Brazil,Germany,Winner,7.0,7.0,6.0,18,4,2014-06-12,1.0,2014-06-05,Germany,2.0
2018,Russia,Germany,Group stage,1.0,3.0,1.0,2,4,2018-06-14,1.0,2018-06-07,Germany,1.0
2022,Qatar,Germany,Group stage,1.0,3.0,1.0,6,5,2022-11-20,0.9615384615384616,2022-10-06,Germany,11.0
1994,USA,Ghana,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Ghana,26.0
1998,France,Ghana,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Ghana,65.0
2002,Korea/Japan,Ghana,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Ghana,52.0
2006,Germany,Ghana,Round of 16,2.0,4.0,2.0,4,6,2006-06-09,0.3043478260869565,2006-05-17,Ghana,48.0
2010,South Africa,Ghana,Quarter-finals,3.0,5.0,2.0,5,4,2010-06-11,0.4347826086956521,2010-05-26,Ghana,32.0
2014,Brazil,Ghana,Group stage,1.0,3.0,0.0,4,6,2014-06-12,0.4782608695652174,2014-06-05,Ghana,37.0
2018,Russia,Ghana,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Ghana,47.0
2022,Qatar,Ghana,Group stage,1.0,3.0,1.0,5,7,2022-11-20,0.4230769230769231,2022-10-06,Ghana,61.0
1994,USA,Greece,Group stage,1.0,3.0,0.0,0,10,1994-06-17,0.0,1994-06-14,Greece,31.0
1998,France,Greece,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Greece,55.0
2002,Korea/Japan,Greece,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Greece,53.0
2006,Germany,Greece,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Greece,20.0
2010,South Africa,Greece,Group stage,1.0,3.0,1.0,2,5,2010-06-11,0.2608695652173913,2010-05-26,Greece,13.0
2014,Brazil,Greece,Round of 16,2.0,4.0,1.0,3,5,2014-06-12,0.4782608695652174,2014-06-05,Greece,12.0
2018,Russia,Greece,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Greece,44.0
2022,Qatar,Greece,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Greece,52.0
1994,USA,Honduras,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Honduras,50.0
1998,France,Honduras,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Honduras,86.0
2002,Korea/Japan,Honduras,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Honduras,26.0
2006,Germany,Honduras,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Honduras,42.0
2010,South Africa,Honduras,Group stage,1.0,3.0,0.0,0,3,2010-06-11,0.217391304347826,2010-05-26,Honduras,38.0
2014,Brazil,Honduras,Group stage,1.0,3.0,0.0,1,8,2014-06-12,0.0869565217391304,2014-06-05,Honduras,33.0
2018,Russia,Honduras,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Honduras,62.0
2022,Qatar,Honduras,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Honduras,80.0
1994,USA,Iceland,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Iceland,38.0
1998,France,Iceland,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Iceland,72.0
