world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against
2002,Korea/Japan,Ghana,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Ghana,Round of 16,2.0,4.0,2.0,4.0,6.0
2010,South Africa,Ghana,Quarter-finals,3.0,5.0,2.0,5.0,4.0
2014,Brazil,Ghana,Group stage,1.0,3.0,0.0,4.0,6.0
2018,Russia,Ghana,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Greece,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Greece,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Greece,Group stage,1.0,3.0,0.0,0.0,10.0
1998,France,Greece,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Greece,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Greece,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Greece,Group stage,1.0,3.0,1.0,2.0,5.0
2014,Brazil,Greece,Round of 16,2.0,4.0,1.0,3.0,5.0
2018,Russia,Greece,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Honduras,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Honduras,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Honduras,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Honduras,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Honduras,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Honduras,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Honduras,Group stage,1.0,3.0,0.0,0.0,3.0
2014,Brazil,Honduras,Group stage,1.0,3.0,0.0,1.0,8.0
2018,Russia,Honduras,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Hungary,Group stage,1.0,3.0,1.0,2.0,9.0
1990,Italy,Hungary,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Hungary,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Hungary,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Hungary,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Hungary,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Hungary,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Hungary,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Hungary,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Iceland,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Iceland,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Iceland,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Iceland,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Iceland,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Iceland,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Iceland,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Iceland,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Iceland,Group stage,1.0,3.0,0.0,2.0,5.0
1986,Mexico,Iran,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Iran,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Iran,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Iran,Group stage,1.0,3.0,1.0,2.0,4.0
2002,Korea/Japan,Iran,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Iran,Group stage,1.0,3.0,0.0,2.0,6.0
2010,South Africa,Iran,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Iran,Group stage,1.0,3.0,0.0,1.0,4.0
2018,Russia,Iran,Group stage,1.0,3.0,1.0,2.0,2.0
1986,Mexico,Iraq,Group stage,1.0,3.0,0.0,1.0,4.0
1990,Italy,Iraq,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Iraq,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Iraq,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Iraq,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Iraq,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Iraq,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Iraq,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Iraq,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Italy,Round of 16,2.0,4.0,1.0,5.0,6.0
